OBJECTID,Identificador unico del sector catastral,Tipo de sector catastral,Nombre del sector catastral,coord_x,coord_y
1382,009227,0,LECH WALESA,"-74,1009704875","4,728177692155228"
1384,004109,0,VERAGUAS,"-74,0975095135","4,602990230651165"
1385,005604,0,EL REAL,"-74,10254706450002","4,681362914653706"
1386,002640,0,EL PEDREGAL II,"-74,1101399335","4,520142886648448"
1387,008309,0,LA CABRERA,"-74,05019175999999","4,669098796653312"
1388,001432,0,DIANA TURBAY CULTIVOS,"-74,10461284750002","4,5426110291491835"
1389,105103,1,SAN PEDRO,"-74,158004981","4,665043565653161"
1390,006406,0,VILLEMAR,"-74,13972775299999","4,670282724153345"
1391,001115,0,MONTE CARLO,"-74,071776029","4,569062840150063"
1392,002534,0,CASA DE TEJA,"-74,1354631525","4,541496819149151"
1393,007307,0,MUEQUETA,"-74,0711012365","4,653077703152791"
1394,202506,2,EL NUEVO PORTAL II RURAL,"-74,09626210299999","4,489595990647448"
1395,201404,2,LA PEÑA RURAL,"-74,065227854","4,586097751150615"
1396,002540,0,ESTRELLA DEL SUR,"-74,14491489400001","4,544838585149266"
1399,004502,0,HIPOTECHO OCCIDENTAL,"-74,13433441149999","4,62164638615177"
1400,006516,0,TINTALÁ,"-74,15581007099999","4,648379389152614"
1401,006529,0,EL VERGEL ORIENTAL,"-74,143798215","4,648378563652615"
1402,104107,1,BELLA FLOR SUR RURAL,"-74,1632343325","4,539866743649096"
1403,005627,0,GARCÉS NAVAS,"-74,12046567349998","4,712863656654716"
1404,004542,0,ALQUERÍA LA FRAGUA NORTE,"-74,13284024450002","4,605352829151226"
1405,108112,1,PARAMO II RURAL,"-74,02345344150001","4,697376950654224"
1406,006212,0,SALAZAR GÓMEZ,"-74,11500005849999","4,632386895152106"
1407,002636,0,LA HUERTA,"-74,10200667449999","4,484330246147271"
1408,004532,0,LA CECILIA,"-74,175564936","4,60568474265123"
1409,002618,0,PUERTA AL LLANO DE USME,"-74,10305721","4,487920145147408"
1410,004529,0,CEMENTERIO JARDINES APOGEO,"-74,17193821449999","4,600961027151098"
1411,004631,0,EL CORZO,"-74,18967344149999","4,636387765652231"
1412,002597,0,LA FISCALA NORTE,"-74,11232837649999","4,537232808149009"
1413,001202,0,CIUDAD BERNA,"-74,091290628","4,585131398150559"
1414,002634,0,EL TUNO,"-74,110839723","4,486046968147324"
1415,001324,0,EL PINAR,"-74,08756924600002","4,536256146148978"
1416,006527,0,INTERINDUSTRIAL,"-74,13063439750002","4,651567494152742"
1417,002558,0,VILLAS EL DIAMANTE,"-74,1538737905","4,55098524264945"
1418,002637,0,ARRAYANES VI,"-74,100052774","4,536495425648978"
1419,005683,0,QUIRIGUA I,"-74,1006485215","4,7118573961547"
1420,005404,0,LAS FERIAS,"-74,084274029","4,682980051153773"
1421,005501,0,PALO BLANCO,"-74,09441678349998","4,684145818153815"
1422,004597,0,SAN BERNARDINO I,"-74,20484527299999","4,606637106651261"
1423,002548,0,EL VIRREY,"-74,112679335","4,503171498147903"
1424,004539,0,GRAN COLOMBIANO,"-74,19885603350002","4,612327896651459"
1425,002511,0,LA PICOTA,"-74,1171876805","4,5476711796493365"
1426,006504,0,BAVARIA,"-74,13879342299998","4,63877999265234"
1427,002635,0,BRISAS DEL LLANO,"-74,10436662700002","4,486007872147359"
1428,004574,0,CHARLES DE GAULLE,"-74,20114324849999","4,606967998651267"
1429,002518,0,RONDA,"-74,141258408","4,565827905149929"
1430,001331,0,ALTOS DEL ZUQUE,"-74,0797379565","4,542231924649192"
1431,004549,0,NUEVA YORK,"-74,1401843605","4,605535678651227"
1432,004308,0,COLON,"-74,115941728","4,621580236651782"
1433,007407,0,LA AURORA,"-74,06739632450001","4,667002498153252"
1434,002629,0,EL NEVADO II,"-74,10571029299999","4,521974630648524"
1435,007402,0,JUAN XXIII,"-74,06366243650001","4,667418448653249"
1436,008310,0,EL RETIRO,"-74,05159656149999","4,666540625153203"
1437,004102,0,LA SABANA,"-74,08715944100001","4,607926366651328"
1438,002557,0,JUAN JOSÉ RONDÓN,"-74,15314251249998","4,563006492649841"
1439,004511,0,CIUDAD KENNEDY CENTRAL,"-74,152206621","4,6220368576517785"
1442,009122,0,LAS VILLAS,"-74,071829683","4,715639105154799"
1444,208108,2,SAN ISIDRO RURAL,"-74,01964094050001","4,663997621153131"
1446,002405,0,ESCUELA GENERAL SANTANDER,"-74,1323956455","4,589826048650709"
1447,001358,0,CHIGUAZA URBANO,"-74,08122338999999","4,535092713148949"
1448,205319,2,SAN BERNARDINO XIX,"-74,20636961000002","4,635531930152197"
1449,004555,0,PATIO BONITO II,"-74,1653324435","4,636100751652211"
1450,004305,0,LA PRADERA,"-74,12102795700002","4,625299518151898"
1451,004579,0,ESCOCIA,"-74,18751293099999","4,625467681651884"
1452,006423,0,EL TINTAL CENTRAL,"-74,13754702700001","4,665906045653212"
1453,001113,0,SAN BLAS II,"-74,07975864900001","4,5616627631498226"
1455,008424,0,SEGUNDO CONTADOR,"-74,0266517465","4,7130899306547285"
1456,006528,0,EL VERGEL,"-74,135836928","4,656128147152888"
1458,002527,0,LA CABANA,"-74,1082341165","4,511976081648184"
1459,006517,0,MARÍA PAZ,"-74,157882102","4,636453814152266"
1461,008510,0,ACACIAS USAQUÉN,"-74,033824033","4,723567090155069"
1462,006216,0,CIUDAD SALITRE NOR-ORIENTAL,"-74,10052898499998","4,645711029152556"
1464,005665,0,MARANDÚ,"-74,133490137","4,707180369154559"
1465,005111,0,LA ESMERALDA,"-74,09085043500002","4,647132093152601"
1466,007201,0,CAMPIN,"-74,07561592799999","4,64789934365262"
1467,002434,0,JERUSALÉN,"-74,15763825249999","4,57240714865015"
1468,001345,0,DONA LILIANA,"-74,093152202","4,510606157648122"
1470,005406,0,BONANZA,"-74,090323189","4,689581943153981"
1471,006312,0,MODELIA OCCIDENTAL,"-74,12517790800001","4,6667652816532375"
1472,005202,0,DOCE DE OCTUBRE,"-74,0736992745","4,669082036653293"
1473,005206,0,LA LIBERTAD,"-74,07765922549999","4,676582555653552"
1474,001306,0,SAN PEDRO,"-74,08465581499999","4,563851403649874"
1475,001110,0,SAN JAVIER,"-74,0843496345","4,579949976650417"
1476,005102,0,POPULAR MODELO,"-74,08159068500001","4,6659287736531905"
1477,008418,0,SAN PATRICIO,"-74,049637174","4,694971119654146"
1478,005658,0,VILLA SAGRARIO,"-74,1214861675","4,704622945654436"
1479,004635,0,SAN BERNARDINO II,"-74,1974781445","4,636816998152224"
1480,001106,0,SAN BLAS,"-74,083606326","4,567604542649994"
1481,001322,0,SAN RAFAEL USME,"-74,08348520800001","4,529492910148743"
1482,001334,0,LAS GAVIOTAS,"-74,08262452849999","4,532321485148836"
1483,009236,0,LA CAROLINA DE SUBA,"-74,10545040599999","4,728264877655208"
1484,005640,0,BOLIVIA ORIENTAL,"-74,109014758","4,7197640066549695"
1486,005644,0,BOCHICA II,"-74,109202788","4,715672591654833"
1488,006106,0,EL LISTON,"-74,083366229","4,611288788151417"
1489,001425,0,GRANJAS DE SANTA SOFIA,"-74,11212757499999","4,571174884650096"
1490,001406,0,SAN ISIDRO,"-74,1002900705","4,56630839714996"
1491,006510,0,VILLA ALSACIA II,"-74,1357637975","4,643192124152459"
1492,102602,1,CENTRO USME RURAL I,"-74,12193895849998","4,476223908647025"
1493,006501,0,COOPERATIVA DE SUB-OFICIALES,"-74,13262186449998","4,639246090652325"
1494,104118,1,CIUDAD BOLÍVAR RURAL III,"-74,16198331449999","4,557105406649658"
1495,005401,0,POTOSÍ,"-74,07779681099998","4,698701383654273"
1496,009109,0,NIZA SUR,"-74,076250585","4,706352886654503"
1497,001102,0,BUENOS AIRES,"-74,081293474","4,578418613650374"
1499,001434,0,CARMEN DEL SOL,"-74,11342459049999","4,563129585649862"
1500,001317,0,PUENTE COLORADO,"-74,0828433465","4,541941023149159"
1501,001320,0,NUEVA GLORIA,"-74,08942079149998","4,540667869149125"
1502,001329,0,EL PARAÍSO,"-74,091893774","4,541025634149131"
1503,006215,0,PUENTE ARANDA,"-74,10651299400001","4,632806234152134"
1504,007208,0,BANCO CENTRAL,"-74,0703986645","4,642477713152445"
1505,002545,0,EL SATÉLITE,"-74,14741815000002","4,568468697650007"
1506,002627,0,LA REFORMA,"-74,1044878475","4,500679310147829"
1507,001328,0,SANTA RITA SUR ORIENTAL,"-74,09302111099998","4,539049312649066"
1508,004558,0,CAMPO HERMOSO,"-74,164776896","4,640432520652356"
1509,006502,0,MARSELLA,"-74,13060561650002","4,635554636152207"
1510,002512,0,ÁREA ARTILLERÍA,"-74,1281881765","4,551945968149502"
1514,201503,2,SIBERIA  II,"-74,05844386500002","4,631770709152111"
1515,004512,0,TIMIZA,"-74,15024549","4,616106948151591"
1516,004510,0,CIUDAD KENNEDY ORIENTAL,"-74,1474911585","4,621234225151741"
1517,008417,0,SANTA BARBARA OCCIDENTAL,"-74,04894264250001","4,701546852154369"
1518,008307,0,CHICO NORTE,"-74,0494466275","4,676273662653529"
1519,005506,0,JARDÍN BOTÁNICO,"-74,10157277249999","4,662207517653087"
1520,004309,0,LA CAMELIA,"-74,118311302","4,610740748651384"
1521,005673,0,PUEBLO VIEJO,"-74,15419831649999","4,709049125654607"
1522,007405,0,ONCE DE NOVIEMBRE,"-74,070931064","4,668393031153278"
1523,006311,0,MODELIA,"-74,1157440485","4,666195574653201"
1525,202502,2,EL UVAL,"-74,10264740550002","4,485148472147302"
1526,002509,0,SAN BENITO,"-74,135519233","4,563790562649878"
1527,002593,0,TUNJUELITO,"-74,1242834535","4,511703248148184"
1528,008413,0,SANTA BARBARA ORIENTAL,"-74,03155803300001","4,698561012154293"
1529,002625,0,ARRAYANES V,"-74,1024140465","4,535136307148956"
